ID,name,url,location,no. of reviews,description,tuition,enrollment
45,University of Wisconsin--Madison,https://www.usnews.com//best-colleges/university-of-wisconsin-3895,"Madison, WI",16 reviews,"The University of Wisconsin\'97Madison lies along the southern shore of Lake Mendota in the city of Madison. The Wisconsin Badgers compete in more than 20 NCAA Division I sports and are part of the Big Ten Conference. Students can get involved in nearly 900 organizations on campus. There is also an active Greek life and social scene on campus, evident in Wisconsin\'92s reputation as one of the top party schools in the country. Freshmen are not required to live on campus, but many choose to do so. Students can opt to live in one of several residential communities where they learn and live with other students and faculty.The University of Wisconsin\'97Madison\'92s highly ranked graduate schools include the School of Education, Robert M. La Follette School of Public Affairs, College of Engineering, School of Business, School of Medicine and Public Health and Law School. The school\'92s legacy of public service was founded on the ""Wisconsin Idea"" that education should influence and improve people\'92s lives beyond the classroom. Notable Wisconsin alumni include renowned glass artist Dale Chihuly and author Joyce Carol Oates. Other past students include former Vice President Dick Cheney, aviator Charles Lindbergh, naturalist John Muir and architect Frank Lloyd Wright.","$38,608(out-of-state)","33,585(fall 2020)"
46,University of Illinois--Urbana-Champaign,https://www.usnews.com//best-colleges/university-of-illinois-urbanachampaign-1775,"Champaign, IL",19 reviews,"The University of Illinois is located in the twin cities of Urbana and Champaign in east-central Illinois, only a few hours from Chicago, Indianapolis and St. Louis. The school\'92s Fighting Illini participate in more than 20 NCAA Division I varsity sports and are part of the Big Ten Conference. The university boasts one of the largest Greek systems in the country, and almost a quarter of the student body is involved. It\'92s not hard to find something to do on campus with more than 1,600 student organizations, including professional, political and philanthropic clubs. All freshmen are required to live on campus.The University of Illinois\'97Urbana-Champaign comprises 15 colleges and schools. Its School of Information Sciences, College of Engineering and Department of Psychology are among the best in the country. The school\'92s College of Business, College of Education and College of Law are also highly ranked. The University of Illinois is considered a school with the highest level of research activity, according to the Carnegie Classification of Institutions of Higher Education. It was the first school to provide disability access to all university services, curricula and facilities. Notable alumni include Pulitzer Prize-winning film critic Roger Ebert and the co-founder of YouTube, Steve Chen. ","$34,316(out-of-state)","33,683(fall 2020)"
47,University of Georgia,https://www.usnews.com//best-colleges/university-of-georgia-1598,"Athens, GA",19 reviews,"At its founding, The University of Georgia made history as the first public, state-supported college in America. These days, the school is known for its vibrant student community. UGA\'92s college town of Athens was rated among the best college towns in the country by U.S. News, and the competitive Bulldogs sports teams compete in the NCAA Division I Southeastern Conference. There are more than 700 student clubs and organizations, including more than 60 Greek chapters that involve around 25% of UGA students. Community service is a particularly big focus, with student-run philanthropies such as UGA Miracle, a yearlong fundraiser and 24-hour Dance Marathon for Children\'92s Healthcare of Atlanta. First-year students must live on campus, but Atlanta is 60 miles away for those itching for a road trip.The University of Georgia has renowned graduate programs in its College of Education and Law School. As both a land and sea grant university, UGA is active in research and promotion of agricultural and sea-based programs. One unique offering at UGA is the Eugene P. Odum School of Ecology, the first school of its kind when it was launched in 2007. Notable alumni of UGA include U.S. Sen. Johnny Isakson, Food Network personality Alton Brown and AFLAC CEO Dan Amos.","$31,120(out-of-state)","29,765(fall 2020)"
48,Lehigh University,https://www.usnews.com//best-colleges/lehigh-university-3289,"Bethlehem, PA",14 reviews,"Lehigh University is located in Bethlehem, Pa., 50 miles north of Philadelphia and 75 miles west of New York City. The Lehigh Mountain Hawks are members of the Patriot League, and compete in 25 NCAA Division I sports. Their biggest athletic rivalry is Lafayette College, located less than 20 miles away. A third of the student body is involved in fraternities and sororities. All freshmen are required to live on campus, and sophomores are also required to live on campus in a residence hall or Greek housing. Lehigh\'92s main campus is located on the wooded slope of South Mountain, and half of the campus is preserved as open space.Lehigh University has four colleges, with numerous undergraduate and graduate majors. Its well-regarded graduate programs include the College of Education and the P.C. Rossin College of Engineering and Applied Science. The Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act originated at Lehigh, requiring colleges to reveal crimes on campus. Lehigh folklore says the school colors of brown and white originated when a woman wearing brown and white stockings passed by a group of men discussing school colors, and the rest is history. Notable alumni include Jesse W. Reno, the inventor of the escalator; and Howard McClintic and Charles Marshall, whose construction company helped build the Golden Gate Bridge, the George Washington Bridge, the Panama Canal and New York\'92s Waldorf-Astoria Hotel.","$57,470 ","5,203(fall 2020)"
49,Northeastern University,https://www.usnews.com//best-colleges/northeastern-university-2199,"Boston, MA",32 reviews,"At Northeastern University, students gain substantial work experience before receiving their diplomas. More than 90 percent of Northeastern undergraduates complete at least one professional co-op during their college career, working for one of more than 2,000 employers around the world, such as ESPN and MTV. Students can choose to complete their degree in four years, with the potential for two co-ops, or five years, building in time for three co-ops. Outside of the classroom and workplace, there are more than 400 clubs and organizations for students, including more than 30 fraternities and sororities. The Northeastern Huskies compete in the NCAA Division I Colonial Athletic Conference. More than 3,000 students compete at the club and intramural sport level. Freshmen and sophomores are required to live on campus. Northeastern\'92s campus is spread out across 73 acres in the venerable college town of Boston. Northeastern has its own stop on Boston\'92s subway system, commonly called the T. The city, home to myriad colleges, is steeped in American history and full of activities for students.The university receives hefty research grants each year from the National Science Foundation and the National Institutes of Health, as well as the Departments of Homeland Security, Energy and Defense. Undergraduates and graduates alike can get involved in research, and many present projects in the annual Research, Innovation and Scholarship Expo. Notable alumni include talk show host Wendy Williams and former astronaut and professor Albert Sacco. Napster founder Shawn Fanning attended but did not graduate from Northeastern.","$57,592 ","15,156(fall 2020)"
50,Ohio State University--Columbus,https://www.usnews.com//best-colleges/ohio-state-6883,"Columbus, OH",23 reviews,"OSU offers more than 200 undergraduate majors, as well as a Personalized Study Program where students can design a nontraditional education. The university also offers a variety of graduate programs through such highly ranked schools as the College of Education and Human Ecology, Max M. Fisher College of Business and College of Medicine. Students can participate in more than 1,000 on-campus clubs and organizations, including more than 60 fraternities and sororities, or volunteer through the Pay It Forward program. Sports are a big part of campus life, with the Ohio State Buckeyes competing in the NCAA Division I Big Ten Conference. All freshmen must live on campus, unless they are from Central Ohio and can commute. Students can also study abroad in more than 75 countries through OSU.","$35,019(out-of-state)","46,984(fall 2020)"
51,Pepperdine University,https://www.usnews.com//best-colleges/pepperdine-university-1264,"Malibu, CA",14 reviews,"Squeezed in among the Santa Monica Mountain foothills, Pepperdine University is a Christian college known for its picturesque location in Malibu, Calif. The school upholds the New Testament-based traditions of the Churches of Christ. Students must attend 14 spiritual events a semester and take at least three religion courses during their time at Pepperdine. There is a Church of Christ on campus, as well as a handful of student-led ministries. Outside of church, the school\'92s sports teams, the Pepperdine Waves, compete in the Division I West Coast Conference. Students can also play club sports, such as lacrosse, tennis and surfing, and a variety of intramural sports, from flag football to volleyball. Freshmen and sophomores must live in university housing on the dry campus, and student spiritual life leaders live in each residence hall. About a third of students are active in more than a dozen sororities and fraternities, though there is no official Greek housing on campus.In addition to its main campus in Malibu, Pepperdine University offers graduate courses at campuses in West Los Angeles, Irvine, Encino and San Jose. The school also has facilities in Germany, England, Italy, Switzerland, Argentina, China and Washington, D.C. Beverly Hills is 24 miles away and Disneyland is 54 miles away from Pepperdine\'92s Malibu campus. Los Angeles is about an hour\'92s drive away. The school has graduated dozens of top athletes, including baseball player Randy Wolf, golfer Jason Allred, basketball player Alex Acker and beach volleyball Olympic medalist Nicole Sanderson, among its many notable alumni.","$59,702 ","3,459(fall 2020)"
52,Purdue University--West Lafayette,https://www.usnews.com//best-colleges/purdue-university-west-lafayette-1825,"West Lafayette, IN",25 reviews,"Purdue University's West Lafayette, Indiana, campus is the main campus in the Purdue University system, which encompasses four other campuses throughout the state. About 20 percent of students are affiliated with Greek life, and Purdue offers a wide range of activities and organizations. Performance groups include the ""All American"" Marching Band, six jazz bands and two symphony orchestras. The Boilermakers, Purdue\'92s athletic teams, compete in the Division I Big Ten Conference and are well known for their dominant men\'92s and women\'92s basketball teams. The Boilermaker Special, Purdue\'92s official mascot, is a railroad locomotive cared for and maintained by the student-run Purdue Reamer Club. Although no students are required to live in university housing, about one-third of undergraduates live on campus.Purdue is made up of 13 schools and colleges, many of which serve both undergraduate and graduate students. Professional and graduate programs include the well-ranked College of Engineering, Krannert School of Management, College of Education and College of Pharmacy. Purdue\'92s esteemed School of Aeronautics and Astronautics within the College of Engineering has acquired the nickname ""Cradle of Astronauts."" One popular university tradition: many students mark the beginning and end of their time at Purdue by running through any of the five campus fountains. Notable alumni include legendary college basketball coach and player John Wooden, popcorn entrepreneur Orville Redenbacher and the first man to walk on the moon, Neil Armstrong.","$28,794(out-of-state)","34,920(fall 2020)"
53,Villanova University,https://www.usnews.com//best-colleges/villanova-3388,"Villanova, PA",12 reviews,"Named for the Spanish Augustinian St. Thomas of Villanova, the university is still affiliated with the Augustinian Order. Located just outside Philadelphia, Villanova has six colleges, four of which serve undergraduate and graduate students. Graduate programs include those in the School of Business and the Charles Widger School of Law. Villanova offers more than 280 student-run organizations, such as the Blue Key Society, which gives admissions tours and hosts prospective student days. Villanova is also the host of the largest student-run Special Olympics event in the world, and students provide around a quarter-million hours of service to the community each year. They can also participate in about two dozen fraternities and sororities. The Villanova Wildcats \'96 known for their successful men's basketball program \'96 mainly compete in the NCAA Division I Big East Conference. Incoming freshmen are guaranteed housing for their first three years.","$59,900 ","7,037(fall 2020)"
54,Florida State University,https://www.usnews.com//best-colleges/florida-state-university-1489,"Tallahassee, FL",28 reviews,"At Florida State University, a public school in Tallahassee, students have more than 600 organizations to consider joining. The Florida State Seminoles sports teams compete in the NCAA Division I and are known for baseball and football.","$21,683(out-of-state)","32,543(fall 2020)"
55,Rensselaer Polytechnic Institute,https://www.usnews.com//best-colleges/rpi-2803,"Troy, NY",21 reviews,"Rensselaer Polytechnic Institute was founded on the principles of bringing science to everyday life, and that ethos is still prevalent today. About a quarter of students are involved in Greek L.I.F.E., as the fraternity and sorority scene is known at the school, which stresses Leadership, Innovation, Fortitude and Evolution. More students \'96 more than 80 percent \'96 play sports at the varsity, club or intramural level. True to the school\'92s mission, the varsity athletes are known as the Engineers, and compete in the Eastern College Athletic Conference and the Liberty League. There are also more than 200 student organizations. Freshmen must live on campus, usually in dormitories that only house first-year students. RPI\'92s campus, in Troy, N.Y., is nestled in an ideal location for nature lovers. The school overlooks the Hudson River, where waterfront activities abound, and is close to Grafton Lakes State Park, Lake George and the Adirondack Mountains. For an urban experience, Albany is 9 miles away.In accordance with its specialty, RPI has a highly ranked engineering program. The school also uses its scientific specialties to offer unique accelerated programs such as the B.S./M.D. Physician-Scientist Program, completed in seven years, and the B.S./J.D. in Science, Technology and Society Law, which takes six years to finish. The university hosts technical events like the annual GameFest, a showcase of computer games designed by students. These kinds of technical skills have led Rensselaer graduates to successful careers as entrepreneurs, inventors, scientists and more. Notable RPI alumni include George W. G. Ferris, creator of the Ferris Wheel, Howard P. Isermann, inventor of sunscreen and Myles Brand, former president of the NCAA.","$58,526 ","6,283(fall 2020)"
56,Santa Clara University,https://www.usnews.com//best-colleges/santa-clara-university-1326,"Santa Clara, CA",11 reviews,"Santa Clara University is located in the Silicon Valley town of Santa Clara, California, about an hour from San Francisco. The university offers arts and entertainment programs at the Center of Performing Arts and the de Saisset Museum of art and history. There are more than 100 student organizations on campus including the Santa Clara Community Action Program, a volunteer service organization, and the Santa Clara Review, a biannual literary magazine. Santa Clara offers housing in its residence halls, and students can also join a Residential Learning Community. The Santa Clara Broncos field nearly 20 Division I athletic teams and are known for their successful soccer and volleyball programs. The Ruff Riders \'96 the official student booster club of SCU athletics \'96 is the largest organization on campus.Santa Clara\'92s graduate programs include the Leavey School of Business, School of Law, School of Engineering, School of Education and Counseling Psychology, College of Arts and Sciences, and the Jesuit School of Theology. Undergraduates can study in the College of Arts and Sciences, Leavey School of Business or School of Engineering. Notable alumni include president of the University of California system and former U.S. secretary of Homeland Security Janet Napolitano, former director of the CIA and secretary of defense Leon Panetta, primatologist and U.N. messenger of peace Jane Goodall, and author of the best-selling novel ""The Kite Runner"" Khaled Hosseini.","$55,860 ","5,608(fall 2020)"
57,University of Miami,https://www.usnews.com//best-colleges/university-of-miami-1536,"Coral Gables, FL",18 reviews,"Located in Southern Florida, the University of Miami has an ideal location for students who love the outdoors. With popular spots like South Beach, the Florida Keys and Everglades National Park nearby, students have plenty of opportunities for water sports, hiking and sunbathing. Downtown Miami, also near to the school, is a thriving sports and cultural center. On campus, 2,500 students are involved in nearly 30 fraternities and sororities. Students can also choose from more than 290 clubs and organizations to join. Freshmen are required to live on campus and can live in one of the school\'92s five residential colleges. Modeled after the housing setup at England\'92s Oxford and Cambridge universities, the different communities combine living and learning with communal meals, poetry readings, sports and other activities. Freshmen who don't live in university housing are paired with an on-campus representative through the Commuter Assistant Program to help ease the transition into college. University of Miami Division I sports teams are known as the Hurricanes and compete in the Coastal Division of the Atlantic Coast Conference. The school\'92s mascot is Sebastian the Ibis, a species of marsh bird that is known for weathering tropical storms.The University of Miami is known as a research institution, and research opportunities begin at the undergraduate level. Annual campus events include the Canes Film Festival, which showcases student-produced movies, and Sportsfest, a weekend of competition between residence hall teams. Undergraduates are also known for upholding school spirit with traditions like the Boat Burning Ceremony held on Lake Osceola during homecoming. Notable alumni of the University of Miami include actor Sylvester Stallone and entertainer Gloria Estefan.","$54,760 ","11,334(fall 2020)"
58,Syracuse University,https://www.usnews.com//best-colleges/syracuse-university-2882,"Syracuse, NY",10 reviews,"Few schools are associated with a color as strongly as Syracuse University. A brilliant shade of orange is tied into campus life, manifesting itself in student media outlets such as The Daily Orange, the student-run newspaper, and CitrusTV, the television studio. The school\'92s sports teams are known simply as Orange and compete in the NCAA Division I Atlantic Coast Conference, cheered on by school mascot Otto the Orange. The football team plays in Carrier Dome, famed as the only domed stadium in the Northeast.The school\'92s campus sits on University Hill, above the sprawling city of Syracuse in central New York state. With about 100 inches of snowfall each year, the bitterly cold winters at Syracuse University give students plenty of opportunities for skiing, snowboarding and sledding on nearby mountains. On campus, there are more than 300 student organizations. About 30 percent of Syracuse students are involved in Greek life. All freshmen and sophomore students must live in on-campus housing, though there are some exceptions. The free Connective Corridor bus shuttles transport students between campus and downtown Syracuse, where annual celebrations include a Winterfest and a Jazz Fest.Syracuse University offers undergraduates a variety of study abroad opportunities, including through the school\'92s overseas centers and programs with partner institutions. Freshmen interested in the liberal arts can spend their first semester studying abroad through the Discovery Programs in Madrid; Strasbourg, France; or Florence, Italy. Notable alumni of Syracuse include writer Joyce Carol Oates, actor Jerry Stiller, former professional football player Donovan McNabb and singer and actress Vanessa Williams.","$57,591 ","14,479(fall 2020)"
59,University of Maryland--College Park,https://www.usnews.com//best-colleges/university-of-maryland-2103,"College Park, MD",10 reviews,"Located between Washington, D.C., and Baltimore, the University of Maryland offers students a suburban lifestyle within easy reach of big-city experiences. The flagship campus in College Park, which has its own subway stop on the D.C.-area Metro transit system, is close to the nation's capital. There are more than 800 clubs and organizations on campus, including nearly 60 fraternities and sororities. Freshmen and all other students are not required to live on campus. Students looking for additional activities can visit the university's ""SEE UMD"" website, which stands for ""Student Entertainment Events"" and offers movie screenings, comedy shows, lectures and more. Sports also offer yearlong distractions. The Maryland Terrapins compete in the NCAA Division I Big Ten Conference. The mascot, Testudo, is a Diamondback terrapin \'97 a species of turtle that is the official state reptile. One of several Testudo sculptures on campus sits in front of McKeldin Library, and rubbing its nose is thought to bring good luck, particularly before exams.The University of Maryland has a highly ranked graduate program in education and the noted A. James Clark School of Engineering, as well as well-regarded offerings through the Robert H. Smith School of Business. The university regularly earns accolades for its sustainable and clean energy initiatives, such as its plan to be carbon neutral by 2050 and campus-wide efforts to compost dining hall waste. Famous Maryland alumni span the professional spectrum and include NASA scientist Charles Bennett, broadcast journalist Connie Chung and ""Sesame Street"" and ""The Muppet Show"" creator Jim Henson.","$38,636(out-of-state)","30,875(fall 2020)"
60,University of Pittsburgh--Pittsburgh Campus,https://www.usnews.com//best-colleges/university-of-pittsburgh-3379,"Pittsburgh, PA",20 reviews,"Located in the Oakland neighborhood, Pitt\'92s campus is a 3-mile trip from bustling downtown Pittsburgh. The city is home to powerhouse professional sports teams, such as the Steelers and Penguins, and dozens of unique cultural centers, like the Andy Warhol Museum and the Phipps Conservatory and Botanical Gardens. Pitt students get free admission to these and other select museums throughout the school year. Because Pittsburgh is bordered by three rivers, kayaking, sailing and fishing opportunities are plentiful. City buses stop every 10 to 15 minutes on campus, and students can ride public transportation into the city for free with school ID. Freshmen do not have to live on campus. Pitt has a sizable Greek community of nearly 40 fraternities and sororities. Students in Arts and Sciences majors can earn hands-on credits in internships, research and teaching with the help of the university\'92s Office of Undergraduate Research, Scholarship and Creative Activity. The Pittsburgh Panthers sports teams compete in the NCAA Division I Atlantic Coast Conference. Pitt students are notorious for their avid support at sporting events, particularly for forming a riotous cheering section known as the Oakland Zoo at basketball games. Students who attend the most home sporting events get priority purchasing when game tickets are in high demand through the school\'92s Loyalty Points system.The university earns national accolades for its highly ranked School of Medicine, School of Education and Swanson School of Engineering. The School of Medicine is particularly well regarded for its research, working in conjunction with the highly ranked University of Pittsburgh Medical Center, and the institution receives one of the highest amounts of funding from the National Institutes of Health. The university is well known for its focus on going green, too. Students and faculty work toward environmentally friendly neighborhood solutions at the school\'92s Mascaro Center for Sustainable Innovation. There are notable University of Pittsburgh alumni in almost every professional sector; some are famed football personalities Mike Ditka and Dan Marino; former U.S. Secretary of the Treasury Andrew Mellon; and Roscoe Robinson Jr., the first African-American four-star general in the U.S. Army.","$34,124(out-of-state)","19,197(fall 2020)"
61,University of Washington,https://www.usnews.com//best-colleges/university-of-washington-3798,"Seattle, WA",5 reviews,"Located north of downtown Seattle, the University of Washington is one of the oldest public universities on the West Coast. It is also a cutting-edge research institution, receiving significant yearly federal funding, and hosting an annual undergraduate research symposium for students to present their work to the community. The university has a highly ranked School of Medicine, College of Engineering and Michael G. Foster School of Business. Known as a commuter school, the university does not require freshmen to live on campus, but it encourages students who do to conserve energy and recycle. Students can join one of the 950-plus student organizations on campus, including about 70 sororities and fraternities. Nearly three-fourths of UW graduates remain in the state post-graduation.Beyond UW\'92s main campus in Seattle, the university has campuses in Bothell and Tacoma, Washington. The university was founded in Seattle in 1861, and the Bothell and Tacoma locations were established in 1990. All three UW campuses offer undergraduate and graduate degree programs.Those looking for an honors program can consider UW's, which gives undergraduate students a chance to attend smaller classes, pursue special projects and have more interaction with UW faculty members. Students can choose between the interdisciplinary and departmental honors tracks. The first is more generally focused, and the latter provides an opportunity for in-depth study within a particular major. Extra ambitious students can pursue both types of honors. Students can apply to the interdisciplinary honors program when they apply to UW or during the end of their freshman year. Students submit departmental honors applications after they choose their major.","$39,906(out-of-state)","35,582(fall 2020)"
62,George Washington University,https://www.usnews.com//best-colleges/george-washington-university-1444,"Washington, DC",15 reviews,"George Washington University\'92s urban location in downtown Washington, D.C., is ideal for fans of politics and city life. The school is spread out across the D.C. Foggy Bottom neighborhood, near the State Department and about a mile away from museums on the National Mall and the Washington Monument. Freshmen and sophomores are required to live on campus, and, starting with the Class of 2018, juniors are required to live on campus as well. The school\'92s sports teams are nicknamed the Colonials, and compete in the Division I Atlantic 10 Conference. A costumed student called George, named for George Washington, is the school mascot, though an 10-foot inflatable character known as Big George and an on-campus statue of a hippopotamus are unofficial mascots. There are more than 400 organizations on campus, and students can start their own clubs with an original idea and nine other members. About 25 percent of students are involved in the school\'92s large Greek system. The TRAiL program takes students on outdoor excursions like hiking, kayaking and horseback riding. Student publications include the GW Hatchet, The Daily Colonial and The GW Patriot.The school has broad graduate offerings, and its Law School and Graduate School of Education and Human Development are particularly well regarded. Among the scores of famous GW graduates are politicians Harry Reid and Eric Cantor, former U.S. Secretary of State Colin Powell and performers including Kerry Washington. Alec Baldwin attended GW but did not graduate.","$59,870 ","11,762(fall 2020)"
63,Pennsylvania State University--University Park,https://www.usnews.com//best-colleges/penn-state-6965,"University Park, PA",27 reviews,"There is rarely a dull moment on the Pennsylvania State University\'97University Park campus, also known as Happy Valley. With around more than 1,000 clubs and organizations, there are broad opportunities to get involved in campus life. The school mascot is the Nittany Lion, and teams compete in the Division I Big Ten Conference. The football team plays in Beaver Stadium, which is one of the largest arenas in North America, which seats nearly 107,000 fans. Penn State is home to a thriving Greek system with more than 70 sororities and fraternities. More than 16,000 students volunteer in THON, the largest student-run philanthropy in the world. Students raise money for pediatric cancer research and awareness throughout the year and participate in a 46-hour dance marathon - no sitting or sleeping allowed. Freshmen must live in one of five housing areas on campus. Across the street from campus is State College, a bustling small town with an array of coffee shops, restaurants, shops and bars populated mostly by students. Surrounded by mountains, the school is also close to skiing, snowboarding and hiking opportunities.The land-grant institution, which originally was offered state land in exchange for agricultural courses and research, offers highly ranked graduate programs through the College of Education and the College of Engineering. Undergraduates produce the Daily Collegian newspaper, and students get free daily copies of The New York Times, USA Today and Centre Daily Times - the local paper - through the school\'92s Newspaper Readership Program. Notable alumni include John Cappelletti, a Heisman Trophy winner and former NFL player; and Valerie Plame Wilson, former CIA agent and author. ","$36,476(out-of-state)","39,809(fall 2020)"
64,Rutgers University--New Brunswick,https://www.usnews.com//best-colleges/rutgers-new-brunswick-6964,"Piscataway, NJ",13 reviews,"Rutgers University--New Brunswick, the flagship campus of New Jersey's state university, is split into five mini campuses, each with a unique setting and identity, student center and dining options. Freshmen are not required to live on campus. Students can join more than 500 student clubs and organizations, including more than 80 fraternities and sororities.Among its graduate offerings, Rutgers has a highly ranked Graduate School of Education. The university also awards one of the highest numbers of doctorate degrees a year among U.S. schools. As a public research university, Rutgers is home to unique institutions such as the Center for Advanced Infrastructure and Transportation and the New Jersey Agricultural Experiment Station, where students take hands-on courses in the sciences and work on community projects.The Rutgers Scarlet Knights compete in the NCAA Division I Big Ten Conference. After more than two decades in the Big East conference, Rutgers joined the Big Ten Conference in 2014, where it competes with the University of Maryland\'97College Park, University of Iowa and other schools. It offers football, basketball, soccer, tennis, golf, wrestling, track and field, and a host of other sports programs. The women\'92s basketball team won the WNIT championship in 2014, and the men\'92s track team won its first Big East Outdoor Championship in 2005.Rutgers was founded in 1766 as Queen\'92s College, an all-male institution, and affiliated with the Dutch Reformed Church. It was renamed Rutgers College in 1825 and became a land-grant institution in 1864. Women were allowed to join the university in 1918. The university officially became The State University of New Jersey in the mid-20th century.","$33,005(out-of-state)","35,844(fall 2020)"
65,University of Connecticut,https://www.usnews.com//best-colleges/uconn-29013,"Storrs, CT",5 reviews,"The University of Connecticut, located in Storrs, was originally known as the Storrs Agricultural School ­\'97 a fitting name for an institution surrounded by farmland. Storrs is a sleepy town about a 30-minute drive from Hartford; 60 minutes from Providence, R.I.; and 90 minutes from Boston. Without many activities off campus, students can get involved in the more than 450 clubs and organizations on campus, including more than 30 fraternities and sororities. They can also catch a film in the on-campus movie theater and skate for free in the school\'92s ice rink. Sports are a major focus for students; the UConn Huskies compete in the NCAA Division I American Athletic Conference, in which UConn\'92s basketball teams are especially ferocious competitors. Freshmen do not have to live on campus, though more than 70 percent of all undergraduates choose to do so. Each year before final exams, students gather for Spring Weekend, a fun-filled, multi-day celebration that began as the school\'92s Campus Community Carnival in the 1940s.The University of Connecticut has many graduate offerings, including the highly ranked Neag School of Education. UConn is the state of Connecticut\'92s sea grant institution and receives funds for research and outreach to the region\'92s waterways. Notable alumni of the University of Connecticut include WNBA star Sue Bird; George Harrison, former senior vice president at Nintendo; and David Lee, who won the Nobel Prize in Physics.","$41,192(out-of-state)","18,917(fall 2020)"
66,Worcester Polytechnic Institute,https://www.usnews.com//best-colleges/wpi-2233,"Worcester, MA",6 reviews,"Among the 10 colleges located in Worcester, Mass., Worcester Polytechnic Institute stands out as a close-knit private school grounded in scientific education. The student body is actively engaged in campus activities, such as the rivalry contests like the gigantic tug-of-war held throughout the year that pit the freshmen class against the sophomores. More than 30 percent of students are members of the school's 15 or so fraternities and sororities. Even more \'96 close to 70 percent \'96 are involved in campus sports at some level. The WPI Engineers compete in the NCAA Division III New England Men's and Women's Athletic Conference, supported by mascot Gompei, a goat. Though the original school mascot was the head of a once-live goat, the school now uses a man-made replica for a mascot. WPI students also come out in droves for the school's club sports and intramural program, and all students must take four physical education courses, ranging from lifeguarding to plyometrics.Freshmen do not have to live in campus residence facilities, which include standard dormitories and four houses with student-selected themes. A university seal is imprinted on the ground in the center of campus, but make sure not to step on it; school lore warns that any student who does won't graduate on time. Off campus, students can use Woo Cards to get discounts on food and activities around Worcester. Boston is 45 miles away, or about an hour's trip by train.At WPI, ""M*A*S*H"" is not just a decades-old hit television show; it is also the student-led tutoring program more formally known as Math And Science Help. The student population is decidedly male dominated, with men accounting for more than 70 percent of undergraduates. Notable WPI alumni include Robert Goddard, inventor of the liquid-fueled rocket, and Nancy Pimental, a writer for ""South Park"" and cohost of ""Win Ben Stein\'92s Money.""","$55,531 ","4,892(fall 2020)"
67,Fordham University,https://www.usnews.com//best-colleges/fordham-university-2722,"New York, NY",11 reviews,"At Fordham University, ""New York is [your] campus"" as the school\'92s website says. With campuses throughout New York City, students live and learn in the thick of an urban experience. The school\'92s original Bronx campus, Rose Hill, is in walking distance to the Bronx Zoo, New York Botanical Gardens and Little Italy. Today, Fordham has two more campuses: Lincoln Center, which is close to Central Park, and Westchester campus, which is in West Harrison, N.Y. Freshmen do not have to live on campus, but any student who is promised housing upon admittance to the school is guaranteed a room for four consecutive years. Students can travel between campuses on the school\'92s Ram Van, a burgundy shuttle that runs every half hour. The van makes enough trips, the school has calculated, that it\'92s covered a distance equivalent to traveling around the world 18.5 times a year. The Fordham Rams play in the NCAA Division I Atlantic 10 Conference. Fordham University, a Jesuit institution, does not have a Greek system.Among Fordham\'92s graduate programs is the highly ranked Fordham School of Law, which is home to the first Fashion Law Institute in the country. Graduates and undergraduates alike may take advantage of the Louis Calder Center, a biological field station where environmental studies courses and research are conducted. A dozen graduate students a year can live in log cabins on the biological field station to be closer to their research. Notable alumni include NBA sportscaster Mike Breen, former U.S. Rep. Robert Giaimo of Connecticut and former U.S. Postmaster General John E. Potter.","$55,776 ","9,399(fall 2020)"
68,Indiana University--Bloomington,https://www.usnews.com//best-colleges/indiana-university-bloomington-1809,"Bloomington, IN",17 reviews,"No one quite knows what a ""Hoosier"" is, but a murky definition does not stop students at Indiana University\'97 Bloomington from fiercely identifying with the term. The school's sports teams are notorious competitors in the NCAA Division I Big Ten Conference, and, since Indiana University does not have a mascot, all teams are known simply as Hoosiers. There are more than 750 student organizations on campus, and more than 8,200 students go Greek in the school\'92s large community of fraternities and sororities. Freshmen must live on campus for at least two semesters, though there are some exceptions. The Midwestern college town of Bloomington, or B-town, as it is known to many, is home to a lively cultural scene. Arts and entertainment performances, such as the annual Lotus World Music & Arts Festival, take place year-round. Students can explore the surrounding area through the Indiana University Outdoor Adventures program, which coordinates hiking, whitewater rafting and rock climbing trips. Active students can compete in the annual Little 500, the largest collegiate bike race in the nation and a fundraiser for university scholarships, or spend 36 hours on their feet in the IU Dance Marathon, a fundraiser for Riley Hospital for Children in Indianapolis.Among IU Bloomington\'92s many graduate-level programs are the highly ranked Kelley School of Business, School of Education and Maurer School of Law. Distinguished Indiana alumni include composer and songwriter Hoagy Carmichael, who penned \'93Georgia on My Mind;"" screenwriter and producer Jeri Taylor, who wrote for ""Star Trek;"" and author Meg Cabot, who wrote ""The Princess Diaries"" series.","$38,354(out-of-state)","32,986(fall 2020)"
